,assistsPg,blocksPg,defRebsPg,efficiency,fgaPg,fgmPg,fgpct,foulsPg,ftaPg,ftmPg,ftpct,games,gamesStarted,minsPg,offRebsPg,pointsPg,rebsPg,stealsPg,tpaPg,tpmPg,tppct,turnoversPg,playerId
183,2.2,0.45,2.4,8.8,6.955,2.886,41.5,2.25,0.909,0.75,82.5,44,18,26.8,0.5,7.8,2.9,0.82,3.705,1.25,33.7,1.05,202066
184,0.3,0.0,3.0,2.3,1.0,0.0,0.0,1.0,0.667,0.667,100.0,3,0,8.0,0.0,0.7,3.0,0.0,0.667,0.0,0.0,0.67,202329
185,3.7,0.76,8.1,27.4,17.765,9.118,51.3,2.06,2.0,1.706,85.3,17,17,31.8,2.1,22.2,10.2,1.0,5.294,2.294,43.3,1.53,202696
186,4.9,0.23,1.9,11.5,5.792,2.938,50.7,1.6,1.313,1.167,88.9,48,18,23.3,0.5,7.9,2.4,0.81,2.146,0.813,37.9,1.71,203107
187,5.1,0.51,4.5,25.0,19.434,9.83,50.6,2.34,5.208,4.415,84.8,53,53,35.2,0.6,27.5,5.1,0.81,8.245,3.434,41.6,3.64,203897
188,0.6,0.0,0.6,2.1,0.538,0.308,57.1,0.54,0.769,0.462,60.0,13,0,4.5,0.5,1.1,1.1,0.15,0.077,0.0,0.0,0.31,1626245
189,1.7,0.11,3.0,7.6,7.0,2.66,38.0,1.09,0.264,0.245,92.9,53,3,17.6,0.4,6.9,3.4,0.55,4.151,1.358,32.7,0.68,1627756
190,1.4,0.0,1.5,4.3,2.829,1.114,39.4,1.2,0.457,0.343,75.0,35,0,10.9,0.1,3.1,1.6,0.23,1.629,0.514,31.6,0.2,1627853
191,0.9,0.3,4.6,14.4,10.8,5.175,47.9,1.48,1.975,1.65,83.5,40,25,26.8,0.7,14.4,5.3,0.45,5.975,2.375,39.7,1.05,1628374
192,1.9,0.6,3.5,11.7,7.2,3.667,50.9,1.8,1.8,1.133,63.0,15,6,23.3,1.4,9.1,4.9,0.53,2.6,0.6,23.1,1.13,1628464
193,0.8,0.15,2.7,7.8,4.231,2.231,52.7,1.54,0.462,0.385,83.3,13,0,18.2,0.7,5.5,3.4,0.54,1.846,0.615,33.3,0.38,1628972
194,4.5,0.19,3.7,14.3,12.789,5.333,41.7,2.53,2.123,1.947,91.7,57,42,30.7,0.4,14.8,4.1,0.56,6.175,2.14,34.7,2.21,1629632
195,0.3,0.0,0.2,1.3,1.167,0.5,42.9,0.17,0.0,0.0,0.0,6,0,3.7,0.3,1.0,0.5,0.17,0.167,0.0,0.0,0.0,1629653
196,0.5,0.09,0.4,1.3,1.545,0.636,41.2,0.45,0.091,0.0,0.0,11,0,4.6,0.1,1.4,0.5,0.18,0.818,0.091,11.1,0.27,1629690
197,0.3,0.33,0.8,1.2,1.167,0.167,14.3,0.5,0.333,0.333,100.0,6,0,5.5,0.3,0.7,1.1,0.33,0.167,0.0,0.0,0.67,1629750
198,1.4,0.64,3.8,11.1,7.458,3.593,48.2,1.88,1.593,1.203,75.5,59,59,28.2,0.9,9.2,4.7,0.9,2.0,0.763,38.1,1.39,1630172
199,5.2,1.29,6.3,28.6,17.125,9.292,54.3,2.0,7.042,6.125,87.0,24,22,32.7,0.4,27.3,6.7,0.58,5.5,2.542,46.2,3.71,201142
200,1.6,0.41,3.3,11.4,7.625,3.625,47.5,1.71,2.268,1.768,78.0,56,32,26.9,0.5,10.4,3.8,0.55,3.554,1.393,39.2,0.82,201145
201,1.7,1.21,5.5,15.1,4.442,3.462,77.9,2.1,1.519,0.769,50.6,52,40,22.3,2.0,7.7,7.5,0.31,0.019,0.0,0.0,1.52,201599
202,2.4,0.5,3.8,11.9,6.357,3.0,47.2,2.43,2.5,1.929,77.1,14,3,20.6,0.8,8.9,4.6,0.79,2.714,0.929,34.2,1.29,201933
203,11.0,0.68,7.8,32.7,17.265,8.059,46.7,2.38,7.529,6.529,86.7,34,34,37.3,0.9,25.4,8.7,1.26,7.5,2.706,36.1,4.09,201935
204,6.3,0.61,3.9,27.5,20.386,10.318,50.6,2.66,4.205,3.864,91.9,44,44,35.2,1.0,27.1,4.9,1.36,6.886,2.636,38.3,2.5,202681
205,3.0,0.33,4.3,10.0,5.333,2.0,37.5,1.33,2.0,2.0,100.0,3,3,21.3,0.0,6.7,4.3,0.67,2.333,0.667,28.6,1.67,203915
206,1.9,0.2,3.0,14.8,10.3,5.3,51.5,1.98,0.967,0.75,77.6,60,56,30.9,0.6,14.5,3.6,0.67,6.55,3.167,48.3,0.8,203925
207,0.9,0.0,1.7,5.3,4.581,1.806,39.4,1.0,0.613,0.516,84.2,31,2,16.8,0.2,5.4,1.9,0.39,3.258,1.226,37.6,0.42,204020
208,1.2,0.11,1.9,5.8,6.434,2.321,36.1,1.81,0.755,0.604,80.0,53,7,19.0,0.5,6.6,2.4,0.6,4.321,1.358,31.4,0.77,1627789
209,2.0,0.0,1.0,6.0,8.0,3.0,37.5,0.0,2.0,1.0,50.0,1,0,21.0,1.0,8.0,2.0,0.0,1.0,1.0,100.0,0.0,1628455
210,1.6,0.38,3.6,12.7,6.607,3.607,54.6,2.3,1.857,1.357,73.1,56,32,22.6,1.7,8.9,5.3,0.93,0.982,0.286,29.1,0.88,1628971
211,0.8,0.17,3.1,8.9,4.083,2.5,61.2,0.75,0.25,0.25,100.0,12,0,10.6,1.5,5.3,4.6,0.33,0.417,0.083,20.0,0.67,1628993
212,1.5,0.1,1.6,7.8,7.49,3.082,41.1,1.51,1.286,1.102,85.7,49,5,21.9,0.2,9.4,1.8,0.51,5.449,2.143,39.3,0.84,1629013
213,3.0,0.27,1.0,5.1,4.0,1.409,35.2,0.86,0.773,0.591,76.5,22,1,10.5,0.1,4.0,1.1,0.32,1.909,0.591,31.0,0.73,1629185
214,0.7,0.29,2.0,5.1,3.524,1.476,41.9,1.71,0.619,0.476,76.9,21,0,9.5,1.1,3.6,3.1,0.29,0.952,0.19,20.0,0.67,1629617
215,1.1,1.2,3.6,11.1,4.8,2.8,58.3,2.08,1.84,0.92,50.0,25,1,18.5,1.4,6.6,5.0,0.76,0.2,0.04,20.0,0.56,1629651
216,5.2,0.11,1.7,10.7,5.333,2.444,45.8,1.89,1.0,1.0,100.0,9,0,18.6,0.8,6.7,2.5,0.78,2.111,0.778,36.8,1.67,200765
217,1.7,1.18,4.9,15.1,8.897,4.513,50.7,1.9,1.154,0.949,82.2,39,39,23.6,1.7,10.9,6.6,0.23,2.769,0.974,35.2,1.13,201586
